nome,estrelas,criado_em,idade_dias,atualizado_em,dias_desde_update,linguagem,prs_aceitas,releases,total_issues,issues_fechadas,razao_fechadas
tw93/Mole,37803,2025-09-23 06:38:40+00:00,161,2026-03-03 19:57:23+00:00,0,Shell,120,26,340,340,1.0
dotnet/aspnetcore,37757,2014-03-11 06:09:42+00:00,4375,2026-03-03 19:46:14+00:00,0,C#,18567,275,38640,35090,0.9081
denysdovhan/wtfjs,37737,2017-07-14 15:42:12+00:00,3154,2026-03-03 19:39:42+00:00,0,JavaScript,125,25,118,96,0.8136
rapid7/metasploit-framework,37644,2011-08-30 06:13:20+00:00,5299,2026-03-03 20:00:22+00:00,0,Ruby,11658,0,6425,5951,0.9262
FreeCodeCampChina/freecodecamp.cn,37639,2016-09-30 03:13:43+00:00,3441,2026-03-03 13:10:19+00:00,0,CSS,55,0,587,445,0.7581
httpie/cli,37625,2012-02-25 12:39:13+00:00,5120,2026-03-03 17:57:17+00:00,0,Python,406,47,910,723,0.7945
BerriAI/litellm,37610,2023-07-27 00:09:52+00:00,950,2026-03-03 19:49:25+00:00,0,Python,9600,1000,9227,8402,0.9106
pola-rs/polars,37603,2020-05-13 19:45:33+00:00,2120,2026-03-03 19:47:23+00:00,0,Rust,12707,248,12416,9907,0.7979
huihut/interview,37546,2018-02-09 09:49:48+00:00,2944,2026-03-03 14:47:24+00:00,0,C++,36,0,66,65,0.9848
ToolJet/ToolJet,37543,2021-03-30 08:51:34+00:00,1799,2026-03-03 18:41:01+00:00,0,JavaScript,7716,449,5149,4536,0.8809
RSSNext/Folo,37470,2024-04-08 03:23:35+00:00,694,2026-03-03 14:41:45+00:00,0,TypeScript,1432,93,2564,2184,0.8518
vlang/v,37450,2019-02-08 02:57:06+00:00,2580,2026-03-03 19:47:32+00:00,0,V,13071,302,10267,9152,0.8914
LAION-AI/Open-Assistant,37446,2022-12-13 05:24:17+00:00,1176,2026-03-03 19:17:47+00:00,0,Python,1616,127,1646,1419,0.8621
outline/outline,37420,2016-05-22 21:31:47+00:00,3571,2026-03-03 15:45:21+00:00,0,TypeScript,4148,157,3906,3868,0.9903
TencentARC/GFPGAN,37390,2021-03-19 06:18:20+00:00,1810,2026-03-03 16:12:49+00:00,0,Python,14,8,509,135,0.2652
TeamNewPipe/NewPipe,37387,2015-09-03 23:39:26+00:00,3833,2026-03-03 19:58:15+00:00,0,Java,1795,140,10101,8774,0.8686
