nome,estrelas,criado_em,idade_dias,atualizado_em,dias_desde_update,linguagem,prs_aceitas,releases,total_issues,issues_fechadas,razao_fechadas
codecrafters-io/build-your-own-x,471702,2018-05-09 12:03:18+00:00,2855,2026-03-03 19:43:15+00:00,0,Markdown,155,0,887,653,0.7362
sindresorhus/awesome,442207,2014-07-11 13:42:37+00:00,4253,2026-03-03 19:42:48+00:00,0,,694,0,365,349,0.9562
freeCodeCamp/freeCodeCamp,437703,2014-12-24 17:49:19+00:00,4087,2026-03-03 19:33:07+00:00,0,TypeScript,27735,0,21147,20964,0.9913
public-apis/public-apis,403408,2016-03-20 23:49:42+00:00,3634,2026-03-03 19:46:45+00:00,0,Python,1872,0,835,832,0.9964
EbookFoundation/free-programming-books,383528,2013-10-11 06:50:37+00:00,4526,2026-03-03 19:28:01+00:00,0,Python,7328,0,1262,1227,0.9723
kamranahmedse/developer-roadmap,350071,2017-03-15 13:45:52+00:00,3275,2026-03-03 19:23:45+00:00,0,TypeScript,4065,1,3082,3052,0.9903
jwasham/coding-interview-university,337545,2016-06-06 02:34:12+00:00,3557,2026-03-03 19:27:24+00:00,0,,415,0,525,454,0.8648
donnemartin/system-design-primer,337170,2017-02-26 16:15:28+00:00,3292,2026-03-03 19:46:55+00:00,0,Python,203,0,359,110,0.3064
vinta/awesome-python,285380,2014-06-27 21:00:06+00:00,4266,2026-03-03 19:25:43+00:00,0,Python,639,0,0,0,0.0
awesome-selfhosted/awesome-selfhosted,276313,2015-06-01 02:33:17+00:00,3928,2026-03-03 19:38:52+00:00,0,,2395,1,807,807,1.0
996icu/996.ICU,275615,2019-03-26 07:31:14+00:00,2534,2026-03-03 17:28:42+00:00,0,,1072,0,0,0,0.0
practical-tutorials/project-based-learning,259952,2017-04-12 05:07:46+00:00,3247,2026-03-03 19:32:58+00:00,0,,182,0,227,82,0.3612
openclaw/openclaw,253665,2025-11-24 10:16:47+00:00,99,2026-03-03 19:47:48+00:00,0,TypeScript,2629,59,14535,9847,0.6775
facebook/react,243518,2013-05-24 16:15:54+00:00,4666,2026-03-03 19:38:21+00:00,0,JavaScript,12766,118,14383,13571,0.9435
torvalds/linux,220592,2011-09-04 22:48:12+00:00,5293,2026-03-03 19:43:42+00:00,0,C,0,0,0,0,0.0
TheAlgorithms/Python,218266,2016-07-16 09:44:01+00:00,3517,2026-03-03 19:33:05+00:00,0,Python,3046,0,1702,1540,0.9048
vuejs/vue,209928,2013-07-29 03:24:51+00:00,4600,2026-03-03 18:44:07+00:00,0,TypeScript,1136,249,10027,9668,0.9642
trimstray/the-book-of-secret-knowledge,208500,2018-06-23 10:43:14+00:00,2810,2026-03-03 19:23:24+00:00,0,,122,0,0,0,0.0
ossu/computer-science,202060,2014-05-04 00:18:39+00:00,4321,2026-03-03 19:24:19+00:00,0,HTML,304,0,665,653,0.982
trekhleb/javascript-algorithms,195682,2018-03-24 07:47:04+00:00,2901,2026-03-03 19:20:31+00:00,0,JavaScript,304,0,371,233,0.628
tensorflow/tensorflow,193959,2015-11-07 01:19:20+00:00,3769,2026-03-03 18:28:27+00:00,0,C++,42215,221,41188,40299,0.9784
ohmyzsh/ohmyzsh,185058,2009-08-28 18:15:37+00:00,6031,2026-03-03 19:39:05+00:00,0,Shell,3513,0,5032,4889,0.9716
getify/You-Dont-Know-JS,184456,2013-11-16 02:37:24+00:00,4490,2026-03-03 19:26:59+00:00,0,,370,0,949,949,1.0
CyC2018/CS-Notes,183788,2018-02-13 14:56:24+00:00,2940,2026-03-03 19:32:41+00:00,0,,374,0,577,449,0.7782
microsoft/vscode,182228,2015-09-03 20:23:38+00:00,3833,2026-03-03 19:15:35+00:00,0,TypeScript,43166,196,231789,218510,0.9427
Significant-Gravitas/AutoGPT,182181,2023-03-16 09:21:07+00:00,1083,2026-03-03 19:05:57+00:00,0,Python,3940,93,3736,3501,0.9371
jackfrued/Python-100-Days,179204,2018-03-01 16:05:52+00:00,2924,2026-03-03 19:24:27+00:00,0,Jupyter Notebook,13,0,711,188,0.2644
n8n-io/n8n,177370,2019-06-22 09:24:21+00:00,2446,2026-03-03 19:40:37+00:00,0,TypeScript,14023,544,8180,7715,0.9432
flutter/flutter,175420,2015-03-06 22:54:58+00:00,4014,2026-03-03 19:28:02+00:00,0,Dart,46880,7,112392,100218,0.8917
twbs/bootstrap,174014,2011-07-29 21:19:00+00:00,5330,2026-03-03 19:30:12+00:00,0,MDX,9111,94,22848,22453,0.9827
github/gitignore,172759,2010-11-08 20:17:14+00:00,5593,2026-03-03 18:47:00+00:00,0,,1727,0,0,0,0.0
