nome,estrelas,criado_em,idade_dias,atualizado_em,dias_desde_update,linguagem,prs_aceitas,releases,total_issues,issues_fechadas,razao_fechadas
DataTalksClub/data-engineering-zoomcamp,38901,2021-10-21 09:32:50+00:00,1597,2026-03-06 20:48:18+00:00,0,Jupyter Notebook,454,0,141,139,0.9858
google/leveldb,38876,2014-08-27 21:17:52+00:00,4208,2026-03-06 15:41:02+00:00,0,C++,64,21,788,540,0.6853
2noise/ChatTTS,38874,2024-05-27 18:26:49+00:00,648,2026-03-06 19:07:44+00:00,0,Python,220,6,672,614,0.9137
chatboxai/chatbox,38803,2023-03-06 12:22:15+00:00,1096,2026-03-06 20:09:07+00:00,0,TypeScript,0,52,2499,1503,0.6014
mifi/lossless-cut,38795,2016-10-30 10:49:56+00:00,3414,2026-03-06 19:13:29+00:00,0,TypeScript,223,105,1804,1565,0.8675
remotion-dev/remotion,38750,2020-06-23 19:49:10+00:00,2082,2026-03-06 20:32:42+00:00,0,TypeScript,4200,596,2214,2146,0.9693
novuhq/novu,38649,2021-08-26 15:22:44+00:00,1653,2026-03-06 20:24:03+00:00,0,TypeScript,6880,108,1669,1544,0.9251
mindsdb/mindsdb,38645,2018-08-02 17:56:45+00:00,2773,2026-03-06 19:30:11+00:00,0,Python,5783,337,4400,4327,0.9834
nushell/nushell,38639,2019-05-10 16:59:42+00:00,2492,2026-03-06 20:14:10+00:00,0,Rust,8458,117,7027,5561,0.7914
freeCodeCamp/devdocs,38583,2013-10-24 18:16:07+00:00,4516,2026-03-06 19:14:50+00:00,0,Ruby,982,0,1263,1065,0.8432
impress/impress.js,38517,2011-12-28 22:23:19+00:00,5181,2026-03-05 23:17:59+00:00,0,JavaScript,124,15,483,432,0.8944
tw93/Mole,38487,2025-09-23 06:38:40+00:00,164,2026-03-06 20:49:30+00:00,0,Shell,123,28,349,347,0.9943
agno-agi/agno,38486,2022-05-04 15:23:02+00:00,1402,2026-03-06 20:35:39+00:00,0,Python,2903,173,1973,1699,0.8611
preactjs/preact,38453,2015-09-11 02:40:18+00:00,3829,2026-03-06 12:25:59+00:00,0,JavaScript,1993,240,1928,1868,0.9689
microsoft/qlib,38333,2020-08-14 06:46:00+00:00,2030,2026-03-06 20:09:06+00:00,0,Python,750,23,1043,762,0.7306
google/googletest,38304,2015-07-28 15:07:53+00:00,3874,2026-03-06 19:31:54+00:00,0,C++,813,11,2365,1989,0.841
PatrickJS/awesome-cursorrules,38288,2024-09-16 15:38:38+00:00,536,2026-03-06 20:06:30+00:00,0,MDX,70,0,51,8,0.1569
gto76/python-cheatsheet,38270,2018-01-25 04:16:53+00:00,2962,2026-03-06 16:41:38+00:00,0,Python,0,0,27,27,1.0
PhilJay/MPAndroidChart,38227,2014-04-25 14:29:47+00:00,4333,2026-03-06 11:20:00+00:00,0,Java,191,44,4965,2898,0.5837
lapce/lapce,38111,2018-02-06 08:41:06+00:00,2950,2026-03-06 19:24:42+00:00,0,Rust,1177,35,2011,1200,0.5967
istio/istio,38082,2016-11-18 23:57:21+00:00,3394,2026-03-06 20:22:08+00:00,0,Go,29475,423,21711,21287,0.9805
BerriAI/litellm,38070,2023-07-27 00:09:52+00:00,953,2026-03-06 20:42:58+00:00,0,Python,9749,1000,9276,8458,0.9118
halo-dev/halo,38041,2018-03-21 12:56:52+00:00,2907,2026-03-06 16:47:24+00:00,0,Java,2955,250,4579,4344,0.9487
Kong/insomnia,38009,2016-04-23 03:54:26+00:00,3604,2026-03-06 18:46:19+00:00,0,TypeScript,3752,547,3978,3253,0.8177
ant-design/ant-design-pro,37985,2017-08-25 10:40:44+00:00,3115,2026-03-06 09:11:58+00:00,0,TypeScript,1025,26,9800,9625,0.9821
naptha/tesseract.js,37899,2015-06-24 02:49:52+00:00,3908,2026-03-06 17:52:24+00:00,0,JavaScript,204,57,734,703,0.9578
nextlevelbuilder/ui-ux-pro-max-skill,37844,2025-11-30 11:36:31+00:00,96,2026-03-06 20:49:51+00:00,0,Python,60,14,68,27,0.3971
dotnet/aspnetcore,37769,2014-03-11 06:09:42+00:00,4378,2026-03-06 18:14:35+00:00,0,C#,18607,275,38654,35102,0.9081
denysdovhan/wtfjs,37737,2017-07-14 15:42:12+00:00,3157,2026-03-06 13:33:29+00:00,0,JavaScript,125,25,118,96,0.8136
rapid7/metasploit-framework,37659,2011-08-30 06:13:20+00:00,5302,2026-03-06 20:26:31+00:00,0,Ruby,11661,0,6427,5952,0.9261
httpie/cli,37646,2012-02-25 12:39:13+00:00,5123,2026-03-06 16:02:06+00:00,0,Python,406,47,910,723,0.7945
FreeCodeCampChina/freecodecamp.cn,37639,2016-09-30 03:13:43+00:00,3444,2026-03-05 04:38:14+00:00,1,CSS,55,0,587,445,0.7581
pola-rs/polars,37635,2020-05-13 19:45:33+00:00,2123,2026-03-06 18:19:37+00:00,0,Rust,12726,248,12434,9914,0.7973
code-yeongyu/oh-my-opencode,37578,2025-12-03 01:40:05+00:00,93,2026-03-06 20:46:14+00:00,0,TypeScript,636,147,1194,967,0.8099
huihut/interview,37560,2018-02-09 09:49:48+00:00,2947,2026-03-06 18:36:37+00:00,0,C++,36,0,66,65,0.9848
ToolJet/ToolJet,37552,2021-03-30 08:51:34+00:00,1802,2026-03-06 20:19:01+00:00,0,JavaScript,7745,453,5154,4538,0.8805
RSSNext/Folo,37528,2024-04-08 03:23:35+00:00,697,2026-03-06 18:28:38+00:00,0,TypeScript,1432,93,2567,2184,0.8508
vlang/v,37477,2019-02-08 02:57:06+00:00,2583,2026-03-06 19:19:21+00:00,0,V,13080,302,10268,9156,0.8917
outline/outline,37463,2016-05-22 21:31:47+00:00,3574,2026-03-06 19:33:22+00:00,0,TypeScript,4171,157,3920,3880,0.9898
LAION-AI/Open-Assistant,37443,2022-12-13 05:24:17+00:00,1179,2026-03-06 04:30:48+00:00,0,Python,1616,127,1646,1419,0.8621
TeamNewPipe/NewPipe,37431,2015-09-03 23:39:26+00:00,3836,2026-03-06 15:58:43+00:00,0,Java,1795,140,10107,8783,0.869
